Change Component Comment : Designator=D3 Old Comment=150060YS75000 New Comment=LEDY
Change Component Comment : Designator=D2 Old Comment=150060YS75000 New Comment=LEDY
Change Component Comment : Designator=D11_L28 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L27 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L26 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L25 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L24 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L23 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L22 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L21 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L20 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L19 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L18 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L17 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L16 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L15 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L14 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L13 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L12 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L11 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L10 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L9 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L8 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L7 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L6 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L5 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L4 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L3 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L2 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D11_L1 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L28 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L27 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L26 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L25 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L24 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L23 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L22 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L21 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L20 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L19 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L18 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L17 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L16 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L15 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L14 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L13 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L12 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L11 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L10 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L9 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L8 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L7 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L6 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L5 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L4 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L3 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L2 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D10_L1 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L28 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L27 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L26 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L25 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L24 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L23 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L22 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L21 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L20 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L19 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L18 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L17 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L16 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L15 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L14 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L13 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L12 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L11 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L10 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L9 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L8 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L7 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L6 Old Comment=HBLED New Comment=Oval Led
Change Component Comment : Designator=D9_L5 Old Comment=HBLED New Comment=Oval Led
