Removed Pin From Net: NetName=NetD6_7SEG4_K Pin=D11_L26-K
Added Pin To Net: NetName=NetD6_7SEG4_K Pin=D6_7SEG4-K
Added Pin To Net: NetName=EXTSUPP Pin=D7_L22-A
Added Pin To Net: NetName=NetD7_L22_K Pin=D7_L22-K
Added Pin To Net: NetName=EXTSUPP Pin=D7_L24-A
Added Pin To Net: NetName=NetD7_L24_K Pin=D7_L24-K
Added Pin To Net: NetName=EXTSUPP Pin=D7_L25-A
Added Pin To Net: NetName=NetD7_L25_K Pin=D7_L25-K
Added Pin To Net: NetName=NetD7_L26_K Pin=D7_L26-K
Added Pin To Net: NetName=EXTSUPP Pin=D7_L28-A
Added Pin To Net: NetName=NetD7_L28_K Pin=D7_L28-K
Added Pin To Net: NetName=NetD7_L22_K Pin=D8_L22-A
Added Pin To Net: NetName=NetD8_L22_K Pin=D8_L22-K
Added Pin To Net: NetName=NetD7_L24_K Pin=D8_L24-A
Added Pin To Net: NetName=NetD8_L24_K Pin=D8_L24-K
Added Pin To Net: NetName=NetD7_L25_K Pin=D8_L25-A
Added Pin To Net: NetName=NetD8_L25_K Pin=D8_L25-K
Added Pin To Net: NetName=NetD7_L26_K Pin=D8_L26-A
Added Pin To Net: NetName=NetD8_L26_K Pin=D8_L26-K
Added Pin To Net: NetName=NetD7_L28_K Pin=D8_L28-A
Added Pin To Net: NetName=NetD8_L28_K Pin=D8_L28-K
Added Pin To Net: NetName=NetD8_L22_K Pin=D9_L22-A
Added Pin To Net: NetName=NetD9_L22_K Pin=D9_L22-K
Added Pin To Net: NetName=NetD8_L24_K Pin=D9_L24-A
Added Pin To Net: NetName=NetD9_L24_K Pin=D9_L24-K
Added Pin To Net: NetName=NetD8_L25_K Pin=D9_L25-A
Added Pin To Net: NetName=NetD9_L25_K Pin=D9_L25-K
Added Pin To Net: NetName=NetD8_L26_K Pin=D9_L26-A
Added Pin To Net: NetName=NetD9_L26_K Pin=D9_L26-K
Added Pin To Net: NetName=NetD8_L28_K Pin=D9_L28-A
Added Pin To Net: NetName=NetD9_L28_K Pin=D9_L28-K
Added Pin To Net: NetName=NetD9_L22_K Pin=D10_L22-A
Added Pin To Net: NetName=NetD10_L22_K Pin=D10_L22-K
Added Pin To Net: NetName=NetD9_L24_K Pin=D10_L24-A
Added Pin To Net: NetName=NetD10_L24_K Pin=D10_L24-K
Added Pin To Net: NetName=NetD9_L25_K Pin=D10_L25-A
Added Pin To Net: NetName=NetD10_L25_K Pin=D10_L25-K
Added Pin To Net: NetName=NetD9_L26_K Pin=D10_L26-A
Added Pin To Net: NetName=NetD10_L26_K Pin=D10_L26-K
Added Pin To Net: NetName=NetD9_L28_K Pin=D10_L28-A
Added Pin To Net: NetName=NetD10_L28_K Pin=D10_L28-K
Added Pin To Net: NetName=NetD10_L22_K Pin=D11_L22-A
Added Pin To Net: NetName=NetD11_L22_K Pin=D11_L22-K
Added Pin To Net: NetName=NetD10_L24_K Pin=D11_L24-A
Added Pin To Net: NetName=NetD11_L24_K Pin=D11_L24-K
Added Pin To Net: NetName=NetD10_L25_K Pin=D11_L25-A
Added Pin To Net: NetName=NetD11_L25_K Pin=D11_L25-K
Added Pin To Net: NetName=NetD10_L26_K Pin=D11_L26-A
Added Pin To Net: NetName=NetD11_L26_K Pin=D11_L26-K
Added Pin To Net: NetName=NetD10_L28_K Pin=D11_L28-A
Added Pin To Net: NetName=NetD11_L28_K Pin=D11_L28-K
