Removed Pin From Net: NetName=NetR23_2 Pin=U3_REG1-10
Added Pin To Net: NetName=NetR10_2 Pin=R10-2
Added Pin To Net: NetName=NetR12_2 Pin=R12-2
Added Pin To Net: NetName=NetR14_2 Pin=R14-2
Added Pin To Net: NetName=NetR16_2 Pin=R16-2
Added Pin To Net: NetName=NetR18_2 Pin=R18-2
Added Pin To Net: NetName=NetR20_2 Pin=R20-2
Added Pin To Net: NetName=DOUT0 Pin=U3_REG1-2
Added Pin To Net: NetName=NetR10_2 Pin=U3_REG1-3
Added Pin To Net: NetName=NetR12_2 Pin=U3_REG1-4
Added Pin To Net: NetName=NetR14_2 Pin=U3_REG1-5
Added Pin To Net: NetName=NetR16_2 Pin=U3_REG1-6
Added Pin To Net: NetName=GND Pin=U3_REG1-8
Added Pin To Net: NetName=DOUT1 Pin=U3_REG1-9
Added Pin To Net: NetName=RCK Pin=U3_REG1-10
Added Pin To Net: NetName=NetR18_2 Pin=U3_REG1-11
Added Pin To Net: NetName=NetR20_2 Pin=U3_REG1-12
Added Pin To Net: NetName=CLK Pin=U3_REG1-15
Added Pin To Net: NetName=GND Pin=U3_REG1-16
